agriprod_code,agriprod_name,fadn_code,code_name
ARA,Arable land,SE026,Arable land (ha)
C0000,Cereals for the production of grain (including seed),SE035,Cereals (ha)
C1000,Cereals (excluding rice) for the production of grain (including seed),SE035,Cereals (ha)
C1110,Common wheat and spelt,SE035,Cereals (ha)
C1111,Common winter wheat and spelt,SE035,Cereals (ha)
C1112,Common spring wheat and spelt,SE035,Cereals (ha)
C1120,Durum wheat,SE035,Cereals (ha)
C1121,Winter durum wheat,SE035,Cereals (ha)
C1122,Spring durum wheat,SE035,Cereals (ha)
C1210,Rye,SE035,Cereals (ha)
C1211,Winter rye,SE035,Cereals (ha)
C1212,Spring rye,SE035,Cereals (ha)
C1220,Winter cereal mixtures (maslin),SE035,Cereals (ha)
C1300,Barley,SE035,Cereals (ha)
C1310,Winter barley,SE035,Cereals (ha)
C1320,Spring barley,SE035,Cereals (ha)
C1320M,Malting barley,SE035,Cereals (ha)
C1410,Oats,SE035,Cereals (ha)
C1420,Spring cereal mixtures (mixed grain other than maslin),SE035,Cereals (ha)
C1500,Grain maize and corn-cob-mix,SE035,Cereals (ha)
C1600,Triticale,SE035,Cereals (ha)
C1610,Winter triticale,SE035,Cereals (ha)
C1700,Sorghum,SE035,Cereals (ha)
C1900,"Other cereals n.e.c. (buckwheat, millet, canary seed, etc.)",SE035,Cereals (ha)
C1900T,"Other cereals n.e.c. (buckwheat, millet, canary seed, etc.) - outdoor",SE035,Cereals (ha)
C1990,"Other cereals n.e.c. (millet, canary seed, etc.)",SE035,Cereals (ha)
C2000,Rice,SE035,Cereals (ha)
E0000,Seeds and seedlings,,
F0000,"Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)",SE027,Permanent crops (ha)
F1100,Pome fruits,SE027,Permanent crops (ha)
F1110,Apples,SE027,Permanent crops (ha)
F1120,Pears,SE027,Permanent crops (ha)
F1190,Other pome fruits n.e.c.,SE027,Permanent crops (ha)
F1191,Quinces,SE027,Permanent crops (ha)
F1210,Peaches,SE027,Permanent crops (ha)
F1220,Nectarines,SE027,Permanent crops (ha)
