agriprod_code,agriprod_name,link,lucas_lc_code,lucas_lc_name,lucas_lu_code,lucas_lu_name
ARA,Arable land,,,,,
C0000,Cereals for the production of grain (including seed),=,B10,CEREALS,,
C1000,Cereals (excluding rice) for the production of grain (including seed),,,,,
C1110,Common wheat and spelt,>,B11,Common wheat,,
C1111,Common winter wheat and spelt,>,B11,Common wheat,,
C1112,Common spring wheat and spelt,>,B11,Common wheat,,
C1120,Durum wheat,=,B12,Durum Wheat,,
C1121,Winter durum wheat,<,B12,Durum Wheat,,
C1122,Spring durum wheat,<,B12,Durum Wheat,,
C1210,Rye,=,B14,Rye,,
C1211,Winter rye,<,B14,Rye,,
C1212,Spring rye,<,B14,Rye,,
C1220,Winter cereal mixtures (maslin),>,B14,Rye,,
C1300,Barley,=,B13,Barley,,
C1310,Winter barley,<,B13,Barley,,
C1320,Spring barley,<,B13,Barley,,
C1320M,Malting barley,<,B13,Barley,,
C1410,Oats,=,B15,Oats,,
C1420,Spring cereal mixtures (mixed grain other than maslin),>,B15,Oats,,
C1500,Grain maize and corn-cob-mix,<,B16,Maize,,
C1600,Triticale,=,B18,Triticale,,
C1610,Winter triticale,<,B18,Triticale,,
C1700,Sorghum,<,B19,Other cereals,,
C1900,"Other cereals n.e.c. (buckwheat, millet, canary seed, etc.)",<,B19,Other cereals,,
C1900T,"Other cereals n.e.c. (buckwheat, millet, canary seed, etc.) - outdoor",<,B19,Other cereals,,
C1990,"Other cereals n.e.c. (millet, canary seed, etc.)",<,B19,Other cereals,,
C2000,Rice,=,B17,Rice,,
E0000,Seeds and seedlings,,,,,
F0000,"Fruits, berries and nuts (excluding citrus fruits, grapes and strawberries)",~,B70,PERMANENT CROPS: FRUIT TREES,,
F1100,Pome fruits,,,,,
F1110,Apples,=,B71,Apple fruit,,
F1120,Pears,=,B72,Pear fruit,,
F1190,Other pome fruits n.e.c.,~,B75,Other fruit trees and berries,,
F1191,Quinces,<,B75,Other fruit trees and berries,,
F1210,Peaches,<,B75i,"Peach, nectarine, platerine",,
F1220,Nectarines,<,B75i,"Peach, nectarine, platerine",,
F1230,Apricots,=,B75a,Apricots,,
F1240,Cherries,=,B73,Cherry fruit,,
F1250,Plums,=,B75k,Plums,,
F2100,Figs,=,B75c,Figs,,
F2200,Kiwis,=,B75e,Kiwi,,
F2300,Avocados,<,B75q,Tropical fruit,,
F2900,Other fruits from subtropical and tropical climate zones n.e.c.,~,B75q,Tropical fruit,,
F3000,Berries (excluding strawberries),<,B75p,Small fruits and berries,,
F3100,Currants,<,B75p,Small fruits and berries,,
F3110,Blackcurrants,<,B75p,Small fruits and berries,,
F3120,Red currants,<,B75r,Other fruit trees and berries n.e.c.,,
F3200,Raspberries,<,B75p,Small fruits and berries,,
F3300,Blueberries,<,B75p,Small fruits and berries,,
F3900,Other berries n.e.c.,<,B75r,Other fruit trees and berries n.e.c.,,
F3910,Gooseberries,<,B75r,Other fruit trees and berries n.e.c.,,
F4000,Nuts,=,B74,Nuts trees,,
F4100,Walnuts,<,B74,Nuts trees,,
F4200,Hazelnuts,<,B74,Nuts trees,,
