hcat4_code,hcat4_name,hrl_code,hrl_name
3310000000,arable_crops,3100,Unclassified arable crop
3310100000,cereal,1150,Other Cereals
3310101000,common_soft_wheat,1110,Wheat
3310101001,winter_common_soft_wheat,1110,Wheat
3310101002,spring_common_soft_wheat,1110,Wheat
3310102000,durum_hard_wheat,1110,Wheat
3310102001,winter_durum_hard_wheat,1110,Wheat
3310102002,spring_durum_hard_wheat,1110,Wheat
3310102008,unspecified_season_durum_hard_wheat,1110,Wheat
3310103000,rye,1150,Other Cereals
3310103001,winter_rye,1150,Other Cereals
3310103002,spring_rye,1150,Other Cereals
3310104000,barley,1120,Barley
3310104001,winter_barley,1120,Barley
3310104002,spring_barley,1120,Barley
3310104008,unspecified_season_barley,1120,Barley
3310105000,oats,1150,Other Cereals
3310105001,winter_oats,1150,Other Cereals
3310105002,spring_oats,1150,Other Cereals
3310105008,unspecified_season_oats,1150,Other Cereals
3310106000,maize_corn_popcorn,1130,Maize
3310107000,rice,1140,Rice
3310108000,triticale,1150,Other Cereals
3310108001,winter_triticale,1150,Other Cereals
3310108002,spring_triticale,1150,Other Cereals
3310109000,millet,1150,Other Cereals
3310110000,spelt,1150,Other Cereals
3310110001,winter_spelt,1150,Other Cereals
3310110002,spring_spelt,1150,Other Cereals
3310111000,meslin,1150,Other Cereals
3310111001,winter_meslin,1150,Other Cereals
3310111002,spring_meslin,1150,Other Cereals
3310112000,emmer,1150,Other Cereals
3310112001,winter_emmer,1150,Other Cereals
3310112002,spring_emmer,1150,Other Cereals
3310112008,unspecified_season_emmer,1150,Other Cereals
3310113000,einkorn,1150,Other Cereals
3310113008,unspecified_season_einkorn,1150,Other Cereals
3310115000,teff,1150,Other Cereals
3310116000,sorghum,1150,Other Cereals
3310198000,unspecified_cereals,1150,Other Cereals
3310198001,winter_unspecified_cereals,1150,Other Cereals
3310198002,spring_unspecified_cereals,1150,Other Cereals
3310199000,other_cereals,1150,Other Cereals
3310199001,winter_other_cereals,1150,Other Cereals
3310199002,spring_other_cereals,1150,Other Cereals
3310200000,legumes,1220,Dry Pulses
3310201000,legumes_dried_pulses_protein_crops,1220,Dry Pulses
3310201010,beans,1220,Dry Pulses
3310201020,peanuts,1220,Dry Pulses
3310201030,soy_soybeans,1420,Soybeans
3310201040,chickpeas,1220,Dry Pulses
3310201050,esparsette_onobrychis,1220,Dry Pulses
3310201060,fenugreek,1220,Dry Pulses
3310201070,lentils,1220,Dry Pulses
3310201080,peas,1220,Dry Pulses
3310201090,lupins,1220,Dry Pulses
3310201990,other_dry_pulses,1220,Dry Pulses
3310202000,legumes_harvested_green,1210,Fresh Vegetables
3310202010,alfalfa_lucerne,1210,Fresh Vegetables
3310202020,serradella,1210,Fresh Vegetables
3310202030,clover,1210,Fresh Vegetables
3310202040,melilot,1210,Fresh Vegetables
3310202050,vetches,1210,Fresh Vegetables
3310202060,onobrychis_sainfoins,1210,Fresh Vegetables
3310202070,galega,1210,Fresh Vegetables
3310202990,other_legumes_harvested_green,1210,Fresh Vegetables
3310299000,other_legumes,1210,Fresh Vegetables
3310300000,potatoes,1310,Potatoes
3310400000,sweet_potatoes,1310,Potatoes
3310600000,industrial_nonfood_crops,3100,Unclassified arable crop
3310601000,tobacco,3100,Unclassified arable crop
3310602000,hops,3200,Unclassified permanent crop
3310603000,cotton,1440,"Flax, cotton and hemp"
3310604000,oilseed_crops,3100,Unclassified arable crop
3310604010,rapeseed_rape,1430,Rapeseed
3310604011,winter_rapeseed_rape,1430,Rapeseed
3310604012,spring_rapeseed_rape,1430,Rapeseed
3310604013,summer_rapeseed_rape,1430,Rapeseed
3310604020,sunflower,1410,Sunflower
3310604030,guizotia_abyssinica_nyger,3100,Unclassified arable crop
3310604990,other_oilseed_crops,3100,Unclassified arable crop
3310606000,poppy,3100,Unclassified arable crop
3310606001,winter_poppy,3100,Unclassified arable crop
3310606002,summer_poppy,3100,Unclassified arable crop
3310607000,flax_linseed,1440,"Flax, cotton and hemp"
3310610000,hemp_cannabis,1440,"Flax, cotton and hemp"
3310610010,finola,1440,"Flax, cotton and hemp"
3310611000,fibre_crops,1440,"Flax, cotton and hemp"
3310612000,aromatic_medicinal_culinary_plants_spices_herbs,1210,Fresh Vegetables
3310612010,actaea_baneberry_christopher_herbs,1210,Fresh Vegetables
3310612020,alchemilla_ladys_mantle,1210,Fresh Vegetables
3310612030,anethum_dill,1210,Fresh Vegetables
3310612040,angelica,1210,Fresh Vegetables
3310612050,anise_aniseed,1210,Fresh Vegetables
3310612060,artemisia,1210,Fresh Vegetables
3310612070,basil,1210,Fresh Vegetables
3310612080,black_cumin,1210,Fresh Vegetables
3310612090,borage,1210,Fresh Vegetables
3310612100,calendula_marigold,1210,Fresh Vegetables
3310612110,caraway,1210,Fresh Vegetables
3310612120,catnip,1210,Fresh Vegetables
3310612130,chamomile,1210,Fresh Vegetables
3310612140,chervil,1210,Fresh Vegetables
3310612150,coriander,1210,Fresh Vegetables
3310612170,galium_bedstraw,1210,Fresh Vegetables
3310612180,hibiscus,1210,Fresh Vegetables
3310612190,lavender_lavandula,1210,Fresh Vegetables
