nuts,original_code,original_name,translated_name,hcat4_code,hcat4_name,hcat4_name_auto,hcat4_code_auto
ie,10001.0,100% Destocked Area,100% Destocked Area,3370000000,unmaintained,cereal,3310100000.0
ie,10002.0,Access Road / Roadways,Access Road / Roadways,3390000000,not_known_and_other,cress,3310718000.0
ie,10003.0,Agroforestry (<400 trees per hectare),Agroforestry (<400 trees per hectare),3360000000,tree_wood_forest,nectarine,3330109000.0
ie,10004.0,Alfalfa,Alfalfa,3310202010,alfalfa_lucerne,alfalfa_lucerne,3310202010.0
ie,10005.0,Apples,Apples,3330102000,apples,apples,3330102000.0
ie,10006.0,Arable Habitat,Arable Habitat,3310000000,arable_crops,other_arable_land_crops,3319900000.0
ie,10007.0,Arable Silage,Arable Silage,3310000000,arable_crops,other_arable_land_crops,3319900000.0
ie,10008.0,Arable Silage (Grass),Arable Silage (Grass),3320200000,temporary_grassland,arable_crops,3310000000.0
ie,10009.0,Arable Silage (No Grass),Arable Silage (No Grass),3310000000,arable_crops,arable_crops,3310000000.0
ie,10010.0,Artichoke,Artichoke,3310713000,artichoke,artichoke,3310713000.0
ie,10011.0,Asparagus,Asparagus,3310706000,asparagus,asparagus,3310706000.0
ie,10012.0,Aubergines,Aubergines,3310712000,aubergine_eggplant,aubergine_eggplant,3310712000.0
ie,10013.0,Baby Leaf Spinach,Baby Leaf Spinach,3310717070,spinach,spinach,3310717070.0
ie,10014.0,Barley - Spring,Barley - Spring,3310104002,spring_barley,spring_barley,3310104002.0
ie,10015.0,Barley - Winter,Barley - Winter,3310104001,winter_barley,winter_barley,3310104001.0
ie,10016.0,Basil,Basil,3310612070,basil,basil,3310612070.0
ie,10017.0,Beans - Spring,Beans - Spring,3310201010,beans,beans,3310201010.0
ie,10018.0,Beans - Winter,Beans - Winter,3310201010,beans,beans,3310201010.0
ie,10019.0,Beetroot,Beetroot,3310719020,mangelwurzel_beets,oats,3310105000.0
ie,10020.0,Blackberries,Blackberries,3330202010,blackberry,blackberry,3330202010.0
ie,10021.0,Blackcurrants,Blackcurrants,3330206010,blackcurrant_cassis,blackcurrant_cassis,3330206010.0
ie,10022.0,Blueberries,Blueberries,3330204010,blueberry,blueberry,3330204010.0
ie,10023.0,Bog,Bog,3390000000,not_known_and_other,borage,3310612090.0
ie,10024.0,Borage,Borage,3310612090,borage,borage,3310612090.0
ie,10025.0,Broccoli - Spring,Broccoli - Spring,3310707030,broccoli,broccoli,3310707030.0
ie,10026.0,Broccoli - Winter,Broccoli - Winter,3310707030,broccoli,broccoli,3310707030.0
ie,10027.0,Brussel sprouts,Brussel sprouts,3310707040,brussels_sprouts,brussels_sprouts,3310707040.0
ie,10028.0,Building,Building,3390000000,not_known_and_other,basil,3310612070.0
ie,10029.0,Cabbage - Spring,Cabbage - Spring,3310707000,brassicaceae_cruciferae,spring_common_soft_wheat,3310101002.0
ie,10030.0,Cabbage - Winter,Cabbage - Winter,3310707000,brassicaceae_cruciferae,winter_common_soft_wheat,3310101001.0
ie,10031.0,Calabrese,Calabrese,3310707030,broccoli,cereal,3310100000.0
ie,10032.0,Camelina,Camelina,3310615000,camelina,camelina,3310615000.0
ie,10033.0,Carrots,Carrots,3310715020,carrots_daucus,carrots_daucus,3310715020.0
ie,10034.0,Cauliflowers - Spring,Cauliflowers - Spring,3310707050,cauliflower,cauliflower,3310707050.0
ie,10035.0,Cauliflowers - Winter,Cauliflowers - Winter,3310707050,cauliflower,cauliflower,3310707050.0
ie,10036.0,Celeriac,Celeriac,3310711010,celeriac,celeriac,3310711010.0
ie,10037.0,Celery - Spring,Celery - Spring,3310711000,celery,celery,3310711000.0
ie,10038.0,Celery - Winter,Celery - Winter,3310711000,celery,celery,3310711000.0
ie,10039.0,Cherries,Cherries,3330104000,cherry_cherries,cherry_cherries,3330104000.0
ie,10040.0,Chives,Chives,3310708010,chives,chives,3310708010.0
ie,10041.0,Christmas Trees,Christmas Trees,3360900000,conifers,iris,3310823000.0
ie,10042.0,Clover,Clover,3310202030,clover,clover,3310202030.0
ie,10043.0,Combicrop,Combicrop,3310000000,arable_crops,hops,3310602000.0
ie,10044.0,Copse,Copse,3360000000,tree_wood_forest,arable_crops,3310000000.0
ie,10045.0,Coriander,Coriander,3310612150,coriander,coriander,3310612150.0
ie,10046.0,Courgettes,Courgettes,3310702060,zucchini_courgette,zucchini_courgette,3310702060.0
ie,10047.0,Cranberries,Cranberries,3330204020,cranberry,rowan_rowanberries,3330213000.0
ie,10048.0,Cucumbers,Cucumbers,3310702010,cucumber_pickle,cucumber_pickle,3310702010.0
ie,10049.0,Daffodils,Daffodils,3310833000,narcissus_daffodil,narcissus_daffodil,3310833000.0
ie,10050.0,Designated Habitat,Designated Habitat,3390000000,not_known_and_other,oats,3310105000.0
ie,10051.0,Dill,Dill,3310612030,anethum_dill,anethum_dill,3310612030.0
ie,10052.0,Environmental Management Of Arable Fallow,Environmental Management Of Arable Fallow,3311100000,fallow_land_not_crop,arable_crops,3310000000.0
ie,10053.0,Environmental Mgt. of Fallow Land,Environmental Mgt. of Fallow Land,3311100000,fallow_land_not_crop,fallow_land_not_crop,3311100000.0
ie,10054.0,Extensively Grazed Pasture,Extensively Grazed Pasture,3320000000,grassland_grass,endive,3310717020.0
ie,10055.0,Fallow,Fallow,3311100000,fallow_land_not_crop,fallow_land_not_crop,3311100000.0
ie,10056.0,Fallow - Greening,Fallow - Greening,3311100000,fallow_land_not_crop,rye,3310103000.0
ie,10057.0,Farm Road,Farm Road,3390000000,not_known_and_other,yarrow,3310612390.0
ie,10058.0,Farmyard,Farmyard,3390000000,not_known_and_other,rye,3310103000.0
ie,10059.0,Fennel,Fennel,3310704000,fennel,fennel,3310704000.0
