Nuts,year,name,path,layer
AT,2015,at_2015,./2015/INSPIRE_SCHLAEGE_2015_POLYGON.gpkg,INSPIRE_SCHLAEGE_2015_POLYGON
AT,2016,at_2016,./2016/INSPIRE_SCHLAEGE_2016_POLYGON.gpkg,INSPIRE_SCHLAEGE_2016_POLYGON
AT,2017,at_2017,./2017/INSPIRE_SCHLAEGE_2017_POLYGON.gpkg,INSPIRE_SCHLAEGE_2017_POLYGON
AT,2018,at_2018,./2018/INSPIRE_SCHLAEGE_2018_POLYGON.gpkg,INSPIRE_SCHLAEGE_2018_POLYGON
AT,2019,at_2019,./2019/INSPIRE_SCHLAEGE_2019_POLYGON.gpkg,INSPIRE_SCHLAEGE_2019_POLYGON
AT,2020,at_2020,./2020/INSPIRE_SCHLAEGE_2020_POLYGON.gpkg,INSPIRE_SCHLAEGE_2020_POLYGON
AT,2021,at_2021,./2021/INSPIRE_SCHLAEGE_2021_POLYGON.gpkg,INSPIRE_SCHLAEGE_2021_POLYGON
AT,2022,at_2022,./2022/INSPIRE_SCHLAEGE_2022_POLYGON.gpkg,INSPIRE_SCHLAEGE_2022_POLYGON
AT,2023,at_2023,INSPIRE_SCHLAEGE_2023_2_POLYGON.gpkg,inspire_schlaege_2023_2_polygon
BE2,2008,be2_2008,./2008/Lbgebrperc2008.shp,Lbgebrperc2008
BE2,2009,be2_2009,./2009/Lbgebrperc2009.shp,Lbgebrperc2009
BE2,2010,be2_2010,./2010/Lbgebrperc2010.shp,Lbgebrperc2010
BE2,2011,be2_2011,./2011/Lbgebrperc2011.shp,Lbgebrperc2011
BE2,2012,be2_2012,./2012/Lbgebrperc2012.shp,Lbgebrperc2012
BE2,2013,be2_2013,./2013/Lbgebrperc2013.shp,Lbgebrperc2013
BE2,2014,be2_2014,./2014/Lbgebrperc2014.shp,Lbgebrperc2014
BE2,2015,be2_2015,./2015/Lbgebrperc2015.shp,Lbgebrperc2015
BE2,2016,be2_2016,./2016/Lbgebrperc2016.shp,Lbgebrperc2016
BE2,2017,be2_2017,./2017/Lbgbrprc17.shp,Lbgbrprc17
BE2,2018,be2_2018,./2018/Lbgbrprc18.shp,Lbgbrprc18
BE2,2019,be2_2019,./2019/Lbgbrprc19.shp,Lbgbrprc19
BE2,2020,be2_2020,./2020/Lbgbrprc20.shp,Lbgbrprc20
BE2,2021,be2_2021,./2021/Lbgbrprc21.shp,Lbgbrprc21
BE2,2022,be2_2022,./2022/Lbgbrprc22.shp,Lbgbrprc22
BE3,2015,be3_2015,./2015/DGARNE_SIGEC_PARC_AGRI_ANON__2015_polygon.shp,DGARNE_SIGEC_PARC_AGRI_ANON__2015_polygon
BE3,2016,be3_2016,./2016/SIGEC_PARC_AGRI_ANON__2016.shp,SIGEC_PARC_AGRI_ANON__2016
BE3,2017,be3_2017,./2017/SIGEC_PARC_AGRI_ANON__2017.shp,SIGEC_PARC_AGRI_ANON__2017
BE3,2018,be3_2018,./2018/SIGEC_PARC_AGRI_ANON__2018.shp,SIGEC_PARC_AGRI_ANON__2018
BE3,2019,be3_2019,./2019/SIGEC_PARC_AGRI_ANON__2019.shp,SIGEC_PARC_AGRI_ANON__2019
BE3,2020,be3_2020,./2020/SIGEC_PARC_AGRI_ANON__2020.shp,SIGEC_PARC_AGRI_ANON__2020
BE3,2021,be3_2021,./2021/SIGEC_PARC_AGRI_ANON__2021.shp,SIGEC_PARC_AGRI_ANON__2021
BE3,2022,be3_2022,./2022/SIGEC_PARC_AGRI_ANON__2022.shp,SIGEC_PARC_AGRI_ANON__2022
DE4,2010,de4_2010,./2010/Antragsdaten_2010_FBS.shp,Antragsdaten_2010_FBS
DE4,2011,de4_2011,./2011/Antragsdaten_2011_FBS.shp,Antragsdaten_2011_FBS
DE4,2012,de4_2012,./2012/Antragsdaten_2012_FBS.shp,Antragsdaten_2012_FBS
DE4,2013,de4_2013,./2013/Antragsdaten_2013_FBS.shp,Antragsdaten_2013_FBS
DE4,2014,de4_2014,./2014/Antragsdaten_2014_FBS.shp,Antragsdaten_2014_FBS
DE4,2015,de4_2015,./2015/Antragsdaten_2015_FBS.shp,Antragsdaten_2015_FBS
DE4,2016,de4_2016,./2016/Antragsdaten_2016_FBS.shp,Antragsdaten_2016_FBS
DE4,2017,de4_2017,./2017/Antragsdaten_2017_NETTO.shp,Antragsdaten_2017_NETTO
