,nuts,original_code,original_name,eurocrops,source,4o,hermes
0,at,174,WINTERGERSTE / SILOMAIS,WINTERGERSTE / SILOMAIS,original_name,WINTERGERSTE / SILOMAIS,
1,at,174,WINTERGERSTE/SILOMAIS,WINTERGERSTE / SILOMAIS,gpt-4o,WINTERGERSTE / SILOMAIS,
2,at,175,WINTERGERSTE / KÖRNERMAIS,WINTERGERSTE / KÖRNERMAIS,original_name,WINTERGERSTE / KÖRNERMAIS,
3,at,175,WINTERGERSTE/KÖRNERMAIS,WINTERGERSTE / KÖRNERMAIS,gpt-4o,WINTERGERSTE / KÖRNERMAIS,
4,at,176,WINTERGERSTE / KLEEGRAS,WINTERGERSTE / KLEEGRAS,original_name,WINTERGERSTE / KLEEGRAS,
5,at,176,WINTERGERSTE/KLEEGRAS,WINTERGERSTE / KLEEGRAS,gpt-4o,WINTERGERSTE / KLEEGRAS,
6,at,177,WINTERGERSTE / FUTTERGRÄSER,WINTERGERSTE / FUTTERGRÄSER,original_name,WINTERGERSTE / FUTTERGRÄSER,
7,at,177,WINTERGERSTE/FUTTERGRÄSER,WINTERGERSTE / FUTTERGRÄSER,gpt-4o,WINTERGERSTE / FUTTERGRÄSER,
8,at,178,WINTERGERSTE / KLEE,WINTERGERSTE / KLEE,original_name,WINTERGERSTE / KLEE,
9,at,178,WINTERGERSTE/KLEE,WINTERGERSTE / KLEE,gpt-4o,WINTERGERSTE / KLEE,
10,at,205,ACKERBOHNEN (PUFFBOHNEN) / FELDGEMÜSE,ACKERBOHNEN / FELDGEMÜSE,manual,ACKERBOHNEN (PUFFBOHNEN) / FELDGEMÜSE,
11,at,205,ACKERBOHNEN / FELDGEMÜSE,ACKERBOHNEN / FELDGEMÜSE,original_name,ACKERBOHNEN (PUFFBOHNEN) / FELDGEMÜSE,
12,at,208,ACKERBOHNEN - ERBSEN GEMENGE,ACKERBOHNEN / ERBSENGEMENGE,manual,ACKERBOHNEN - ERBSENGEMENGE,
13,at,208,ACKERBOHNEN - ERBSENGEMENGE,ACKERBOHNEN / ERBSENGEMENGE,manual,ACKERBOHNEN - ERBSENGEMENGE,
14,at,208,ACKERBOHNEN / ERBSENGEMENGE,ACKERBOHNEN / ERBSENGEMENGE,original_name,ACKERBOHNEN - ERBSENGEMENGE,
15,at,210,PELUSCHKE,PELUSCHKEN,gpt-4o,PELUSCHKEN,
16,at,210,PELUSCHKEN,PELUSCHKEN,original_name,PELUSCHKEN,
17,at,636,WECHSELWIESE,WECHSELWIESE,original_name,"WECHSELWIESE (EGART, ACKERWEIDE)",
18,at,636,"WECHSELWIESE (EGART, ACKERWEIDE)",WECHSELWIESE,manual,"WECHSELWIESE (EGART, ACKERWEIDE)",
19,at,751,ÖLKÜRBIS,ÖLKÜRBISSE,gpt-4o,ÖLKÜRBISSE,
20,at,751,ÖLKÜRBISSE,ÖLKÜRBISSE,original_name,ÖLKÜRBISSE,
21,at,766,GRÜNSCHNITTROGGEN / SONNENBLUME,GRÜNSCHNITTROGGEN / SONNENBLUMEN,manual,GRÜNSCHNITTROGGEN / SONNENBLUME,
22,at,766,GRÜNSCHNITTROGGEN / SONNENBLUMEN,GRÜNSCHNITTROGGEN / SONNENBLUMEN,original_name,GRÜNSCHNITTROGGEN / SONNENBLUME,
23,at,768,SPEISEKÜRBIS,SPEISEKÜRBISSE,gpt-4o,SPEISEKÜRBISSE,
24,at,768,SPEISEKÜRBISSE,SPEISEKÜRBISSE,original_name,SPEISEKÜRBISSE,
25,at,776,WINTERGERSTE / SOJABOHNEN,WINTERGERSTE / SOJABOHNEN,original_name,WINTERGERSTE / SOJABOHNEN,
26,at,776,WINTERGERSTE/SOJABOHNEN,WINTERGERSTE / SOJABOHNEN,gpt-4o,WINTERGERSTE / SOJABOHNEN,
27,be2,1,Hoofdgebouwen,Hoofdgebouwen,original_name,Stallen en gebouwen,
28,be2,1,Stallen en gebouwen,Hoofdgebouwen,manual,Stallen en gebouwen,
29,be2,2,Andere gebouwen,Andere gebouwen,original_name,Andere stallen en gebouwen,
30,be2,2,Andere stallen en gebouwen,Andere gebouwen,manual,Andere stallen en gebouwen,
31,be2,201,Siloma s,Silomaïs,gpt-4o,Silomaïs,
32,be2,201,Siloma(s,Silomaïs,gpt-4o,Silomaïs,
33,be2,201,"Siloma,s",Silomaïs,gpt-4o,Silomaïs,
34,be2,201,SilomaAs,Silomaïs,gpt-4o,Silomaïs,
35,be2,201,SilomaRs,Silomaïs,gpt-4o,Silomaïs,
36,be2,201,Silomaas,Silomaïs,gpt-4o,Silomaïs,
37,be2,201,Silomabs,Silomaïs,gpt-4o,Silomaïs,
38,be2,201,Silomaes,Silomaïs,gpt-4o,Silomaïs,
39,be2,201,Silomags,Silomaïs,gpt-4o,Silomaïs,
40,be2,201,Silomahs,Silomaïs,gpt-4o,Silomaïs,
41,be2,201,Silomams,Silomaïs,gpt-4o,Silomaïs,
42,be2,201,Silomans,Silomaïs,gpt-4o,Silomaïs,
43,be2,201,Silomaos,Silomaïs,gpt-4o,Silomaïs,
44,be2,201,Silomaps,Silomaïs,gpt-4o,Silomaïs,
45,be2,201,Silomaus,Silomaïs,gpt-4o,Silomaïs,
46,be2,201,Silomaïs,Silomaïs,original_name,Silomaïs,
47,be2,202,Korrelma,Korrelmaïs,gpt-4o,Korrelmaïs,
48,be2,202,Korrelma s,Korrelmaïs,gpt-4o,Korrelmaïs,
49,be2,202,"Korrelma,s",Korrelmaïs,gpt-4o,Korrelmaïs,
50,be2,202,Korrelma<s,Korrelmaïs,gpt-4o,Korrelmaïs,
51,be2,202,Korrelma=s,Korrelmaïs,gpt-4o,Korrelmaïs,
52,be2,202,Korrelmaes,Korrelmaïs,gpt-4o,Korrelmaïs,
53,be2,202,Korrelmags,Korrelmaïs,gpt-4o,Korrelmaïs,
54,be2,202,Korrelmahs,Korrelmaïs,gpt-4o,Korrelmaïs,
55,be2,202,Korrelmais,Korrelmaïs,gpt-4o,Korrelmaïs,
56,be2,202,Korrelmals,Korrelmaïs,gpt-4o,Korrelmaïs,
57,be2,202,Korrelmams,Korrelmaïs,gpt-4o,Korrelmaïs,
58,be2,202,Korrelmaos,Korrelmaïs,gpt-4o,Korrelmaïs,
59,be2,202,Korrelmars,Korrelmaïs,gpt-4o,Korrelmaïs,
60,be2,202,Korrelmaws,Korrelmaïs,gpt-4o,Korrelmaïs,
61,be2,202,Korrelmazs,Korrelmaïs,gpt-4o,Korrelmaïs,
62,be2,202,Korrelmaïs,Korrelmaïs,original_name,Korrelmaïs,
63,be2,3,Poelen,"Poelen <= 0,1 ha",manual,Poelen > 100 m²,
64,be2,3,"Poelen <= 0,1 ha","Poelen <= 0,1 ha",original_name,Poelen > 100 m²,
65,be2,3,Poelen > 100 m²,"Poelen <= 0,1 ha",manual,Poelen > 100 m²,
66,be2,34,Haver,Japanse haver,gpt-4o,Japanse haver,
67,be2,34,Japanse haver,Japanse haver,original_name,Japanse haver,
68,be2,4,Houtkanten en houtwallen <= 10 m breed,Houtkanten en houtwallen <= 10 m breed,original_name,Houtkanten en houtwallen > 100 m²,
69,be2,4,Houtkanten en houtwallen > 100 m²,Houtkanten en houtwallen <= 10 m breed,manual,Houtkanten en houtwallen > 100 m²,
70,be2,51,Erwten (droog geoogst),Voedererwten (niet voor menselijke consumptie),gpt-4o,Voedererwten (niet voor menselijke consumptie),
71,be2,51,Voedererwten (niet voor menselijke consumptie),Voedererwten (niet voor menselijke consumptie),original_name,Voedererwten (niet voor menselijke consumptie),
72,be2,52,Tuin- en veldbonen (droog geoogst),Tuin- en veldbonen (niet voor menselijke consumptie),manual,Tuin- en veldbonen (droog geoogst),
73,be2,52,Tuin- en veldbonen (niet voor menselijke consumptie),Tuin- en veldbonen (niet voor menselijke consumptie),original_name,Tuin- en veldbonen (droog geoogst),
74,be2,52,Tuinbonen (niet voor menselijke consumptie),Tuin- en veldbonen (niet voor menselijke consumptie),manual,Tuin- en veldbonen (droog geoogst),
75,be2,6,Begraasde niet-landbouwgrond,Begraasde niet-landbouwgrond,original_name,Begraasde niet-landbouwgrond met gebruiksovereenkomst,
76,be2,6,Begraasde niet-landbouwgrond met gebruiksovereenkomst,Begraasde niet-landbouwgrond,manual,Begraasde niet-landbouwgrond met gebruiksovereenkomst,
77,be2,6,Begraasde niet-landbouwgrond met overeenkomst,Begraasde niet-landbouwgrond,manual,Begraasde niet-landbouwgrond met gebruiksovereenkomst,
78,be2,745,Mengsel van gras en vlinderbloemigen (andere dan grasklaver of g,Mengsel van gras en vlinderbloemigen (andere dan grasklaver),gpt-4o,Mengsel van gras en vlinderbloemigen (andere dan grasklaver),
79,be2,745,Mengsel van gras en vlinderbloemigen (andere dan grasklaver),Mengsel van gras en vlinderbloemigen (andere dan grasklaver),original_name,Mengsel van gras en vlinderbloemigen (andere dan grasklaver),
80,be2,81,Braakliggend land zonder minimale activiteit,Braakliggend land zonder minimale activiteit,original_name,Braakliggend land zonder minimale activiteit,
81,be2,81,Spontane bedekking,Braakliggend land zonder minimale activiteit,gpt-4o,Braakliggend land zonder minimale activiteit,
82,be2,832,Tuin- en veldbonen (Vicia faba) - industrie,Tuin- en veldbonen (Vicia faba) - industrie,original_name,Tuin- en veldbonen (Vicia faba) - industrie,
83,be2,832,Tuin- en veldbonen (andere dan droog geoogst) - industrie,Tuin- en veldbonen (Vicia faba) - industrie,gpt-4o,Tuin- en veldbonen (Vicia faba) - industrie,
84,be2,8410,Stamslabonen - industrie,Stamslabonen/sperziebonen - industrie,nous-hermes-2-mixtral-8x7b-dpo,,Stamslabonen/sperziebonen - industrie
85,be2,8410,Stamslabonen/sperziebonen - industrie,Stamslabonen/sperziebonen - industrie,original_name,,Stamslabonen/sperziebonen - industrie
86,be2,8411,Snijbonen - industrie,Snijbonen - industrie,original_name,Stambonen (bv. bruine bonen) - industrie,
87,be2,8411,Stambonen (bv. bruine bonen) - industrie,Snijbonen - industrie,manual,Stambonen (bv. bruine bonen) - industrie,
88,be2,8456,Butternut-pompoen - industrie,Butternutpompoenen - industrie,gpt-4o,Butternutpompoenen - industrie,
89,be2,8456,Butternutpompoenen - industrie,Butternutpompoenen - industrie,original_name,Butternutpompoenen - industrie,
90,be2,8511,Asperge - industrie,Asperges - industrie,gpt-4o,Asperges - industrie,
91,be2,8511,Asperges - industrie,Asperges - industrie,original_name,Asperges - industrie,
92,be2,8515,Witloof (forcerie) - industrie,Witloof (forcerie) - industrie,original_name,Witloof (forcerie) - industrie,
